term,type,weight
"Central District of California","All courts within district",10
"Central District of Illinois","All courts within district",10
"Court of Appeals for the Armed Forces","All courts within district",10
"Court of Appeals for Veterans Claims","All courts within district",10
"Court of Federal Claims","All courts within district",10
"Court of International Trade","All courts within district",10
"District Court for the Northern Mariana Islands","All courts within district",10
"District Court of the Virgin Islands","All courts within district",10
"District of Alaska","All courts within district",10
"District of Arizona","All courts within district",10
"District of Colorado","All courts within district",10
"District of Columbia","All courts within district",10
"District of Connecticut","All courts within district",10
"District of Delaware","All courts within district",10
"District of Guam","All courts within district",10
"District of Hawaii","All courts within district",10
"District of Idaho","All courts within district",10
"District of Kansas","All courts within district",10
"District of Maine","All courts within district",10
"District of Maryland","All courts within district",10
"District of Massachusetts","All courts within district",10
"District of Minnesota","All courts within district",10
"District of Montana","All courts within district",10
"District of Nebraska","All courts within district",10
"District of Nevada","All courts within district",10
"District of New Hampshire","All courts within district",10
"District of New Jersey","All courts within district",10
"District of New Mexico","All courts within district",10
"District of North Dakota","All courts within district",10
"District of Oregon","All courts within district",10
"District of Puerto Rico","All courts within district",10
"District of Rhode Island","All courts within district",10
"District of South Carolina","All courts within district",10
"District of South Dakota","All courts within district",10
"District of Utah","All courts within district",10
"District of Vermont","All courts within district",10
"District of Wyoming","All courts within district",10
"Eastern District of Arkansas","All courts within district",10
"Eastern District of California","All courts within district",10
"Eastern District of Kentucky","All courts within district",10
"Eastern District of Louisiana","All courts within district",10
"Eastern District of Michigan","All courts within district",10
"Eastern District of Missouri","All courts within district",10
"Eastern District of New York","All courts within district",10
"Eastern District of North Carolina","All courts within district",10
"Eastern District of Oklahoma","All courts within district",10
"Eastern District of Pennsylvania","All courts within district",10
"Eastern District of Tennessee","All courts within district",10
"Eastern District of Texas","All courts within district",10
"Eastern District of Virginia","All courts within district",10
"Eastern District of Washington","All courts within district",10
"Eastern District of Wisconsin","All courts within district",10
"Federal Circuit","All courts within district",10
"Judicial Panel on Multidistrict Litigation","All courts within district",10
"Middle District of Alabama","All courts within district",10
"Middle District of Florida","All courts within district",10
"Middle District of Georgia","All courts within district",10
"Middle District of Louisiana","All courts within district",10
"Middle District of North Carolina","All courts within district",10
"Middle District of Pennsylvania","All courts within district",10
"Middle District of Tennessee","All courts within district",10
"Northern District of Alabama","All courts within district",10
"Northern District of California","All courts within district",10
"Northern District of Florida","All courts within district",10
"Northern District of Georgia","All courts within district",10
"Northern District of Illinois","All courts within district",10
"Northern District of Indiana","All courts within district",10
"Northern District of Iowa","All courts within district",10
"Northern District of Mississippi","All courts within district",10
"Northern District of New York","All courts within district",10
"Northern District of Ohio","All courts within district",10
"Northern District of Oklahoma","All courts within district",10
"Northern District of Texas","All courts within district",10
"Northern District of West Virginia","All courts within district",10
"Other Judiciary Agencies","All courts within district",10
"Southern District of Alabama","All courts within district",10
"Southern District of California","All courts within district",10
"Southern District of Florida","All courts within district",10
"Southern District of Georgia","All courts within district",10
"Southern District of Illinois","All courts within district",10
"Southern District of Indiana","All courts within district",10
"Southern District of Iowa","All courts within district",10
"Southern District of Mississippi","All courts within district",10
"Southern District of New York","All courts within district",10
"Southern District of Ohio","All courts within district",10
"Southern District of Texas","All courts within district",10
"Southern District of West Virginia","All courts within district",10
"Supreme Court of the United States","All courts within district",10
"United States Tax Court","All courts within district",10
"Western District of Arkansas","All courts within district",10
"Western District of Kentucky","All courts within district",10
"Western District of Louisiana","All courts within district",10
"Western District of Michigan","All courts within district",10
"Western District of Missouri","All courts within district",10
"Western District of New York","All courts within district",10
"Western District of North Carolina","All courts within district",10
"Western District of Oklahoma","All courts within district",10
"Western District of Pennsylvania","All courts within district",10
"Western District of Tennessee","All courts within district",10
"Western District of Texas","All courts within district",10
"Western District of Virginia","All courts within district",10
"Western District of Washington","All courts within district",10
"Western District of Wisconsin","All courts within district",10
"District of Columbia Circuit Court of Appeals","U.S. Courts of Appeals",20
"District of Columbia Circuit Library","U.S. Courts of Appeals",20
"Eighth Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"Eighth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Eighth Circuit Library","U.S. Courts of Appeals",20
"Eleventh Circuit Court of Appeals","U.S. Courts of Appeals",20
"Fifth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Fifth Circuit Library","U.S. Courts of Appeals",20
"First Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"First Circuit Court of Appeals","U.S. Courts of Appeals",20
"First Circuit Library","U.S. Courts of Appeals",20
"Fourth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Ninth Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"Ninth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Ninth Circuit Library","U.S. Courts of Appeals",20
"Second Circuit Court of Appeals","U.S. Courts of Appeals",20
"Second Circuit Library","U.S. Courts of Appeals",20
"Seventh Circuit Court of Appeals","U.S. Courts of Appeals",20
"Sixth Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"Sixth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Sixth Circuit Library","U.S. Courts of Appeals",20
"Tenth Circuit Bankruptcy Appellate Panel","U.S. Courts of Appeals",20
"Tenth Circuit Court of Appeals","U.S. Courts of Appeals",20
"Tenth Circuit Library","U.S. Courts of Appeals",20
"Third Circuit Court of Appeals","U.S. Courts of Appeals",20
"Third Circuit Library","U.S. Courts of Appeals",20
"Alabama Middle District Court","U.S. District Courts",30
"Alabama Northern District Court","U.S. District Courts",30
"Alabama Southern District Court","U.S. District Courts",30
"Alaska District Court","U.S. District Courts",30
"Arizona District Court","U.S. District Courts",30
"Arkansas Eastern District Court","U.S. District Courts",30
"Arkansas Western District Court","U.S. District Courts",30
"California Central District Court","U.S. District Courts",30
"California Eastern District Court","U.S. District Courts",30
"California Northern District Court","U.S. District Courts",30
"California Southern District Court","U.S. District Courts",30
"Colorado District Court","U.S. District Courts",30
"Connecticut District Court","U.S. District Courts",30
"Delaware District Court","U.S. District Courts",30
"District of Columbia District Court","U.S. District Courts",30
"Florida Middle District Court","U.S. District Courts",30
"Florida Northern District Court","U.S. District Courts",30
"Florida Southern District Court","U.S. District Courts",30
"Georgia Middle District Court","U.S. District Courts",30
"Georgia Northern District Court","U.S. District Courts",30
