county_name,state_code,district_code
Abbeville,SC,SCX
Acadia,LA,LAW
Accomack,VA,VAE
Ada,ID,IDX
Adair,IA,IAS
Adair,KY,KYW
Adair,MO,MOE
Adair,OK,OKE
Adams,CO,COX
Adams,IA,IAS
Adams,ID,IDX
Adams,IL,ILC
Adams,IN,INN
Adams,MS,MSS
Adams,ND,NDX
Adams,NE,NEX
Adams,OH,OHS
Adams,PA,PAM
Adams,WA,WAE
Adams,WI,WIW
Addison,VT,VTX
Aiken,SC,SCX
Aitkin,MN,MNX
Alachua,FL,FLN
Alamance,NC,NCM
Alameda,CA,CAN
Alamosa,CO,COX
Albany,NY,NYN
Albany,WY,WYX
Albemarle,VA,VAW
Alcona,MI,MIE
Alcorn,MS,MSN
"Aleutians East",AK,AKX
Alexander,IL,ILS
Alexander,NC,NCW
"Alexandria City",VA,VAE
Alfalfa,OK,OKW
Alger,MI,MIW
Allamakee,IA,IAN
Allegan,MI,MIW
Allegany,MD,MDX
Allegany,NY,NYW
Alleghany,NC,NCW
Alleghany,VA,VAW
Allegheny,PA,PAW
Allen,IN,INN
Allen,KS,KSX
Allen,KY,KYW
Allen,LA,LAW
Allen,OH,OHN
Allendale,SC,SCX
Alpena,MI,MIE
Alpine,CA,CAE
Amador,CA,CAE
Amelia,VA,VAE
"American Samoa",AS,HIX
Amherst,VA,VAW
Amite,MS,MSS
Anchorage,AK,AKX
Anderson,KS,KSX
Anderson,KY,KYE
Anderson,SC,SCX
Anderson,TN,TNE
Anderson,TX,TXE
Andrew,MO,MOW
Andrews,TX,TXW
Androscoggin,ME,MEX
Angelina,TX,TXE
"Anne Arundel",MD,MDX
Anoka,MN,MNX
Anson,NC,NCW
Antelope,NE,NEX
Antrim,MI,MIW
Apache,AZ,AZX
Appanoose,IA,IAS
Appling,GA,GAS
Appomattox,VA,VAW
Aransas,TX,TXS
Arapahoe,CO,COX
Archer,TX,TXN
Archuleta,CO,COX
Arenac,MI,MIE
Arkansas,AR,ARE
Arlington,VA,VAE
Armstrong,PA,PAW
Armstrong,TX,TXN
Aroostook,ME,MEX
Arthur,NE,NEX
Ascension,LA,LAM
Ashe,NC,NCW
Ashland,OH,OHN
Ashland,WI,WIW
Ashley,AR,ARW
Ashtabula,OH,OHN
Asotin,WA,WAE
Assumption,LA,LAE
Atascosa,TX,TXW
Atchison,KS,KSX
Atchison,MO,MOW
Athens,OH,OHS
Atkinson,GA,GAS
Atlantic,NJ,NJX
Atoka,OK,OKE
Attala,MS,MSN
Audrain,MO,MOE
Audubon,IA,IAS
Auglaize,OH,OHN
Augusta,VA,VAW
Aurora,SD,SDX
Austin,TX,TXS
Autauga,AL,ALM
Avery,NC,NCW
Avoyelles,LA,LAW
Baca,CO,COX
Bacon,GA,GAS
Bailey,TX,TXN
Baker,FL,FLM
Baker,GA,GAM
Baker,OR,ORX
Baldwin,AL,ALS
Baldwin,GA,GAM
Ballard,KY,KYW
Baltimore,MD,MDX
"Baltimore City",MD,MDX
Bamberg,SC,SCX
Bandera,TX,TXW
Banks,GA,GAN
Banner,NE,NEX
Bannock,ID,IDX
Baraga,MI,MIW
Barber,KS,KSX
Barbour,AL,ALM
Barbour,WV,WVN
Barnes,ND,NDX
Barnstable,MA,MAX
Barnwell,SC,SCX
Barren,KY,KYW
Barron,WI,WIW
Barrow,GA,GAN
Barry,MI,MIW
Barry,MO,MOW
Bartholomew,IN,INS
Barton,KS,KSX
Barton,MO,MOW
Bartow,GA,GAN
Bastrop,TX,TXW
Bates,MO,MOW
Bath,KY,KYE
Bath,VA,VAW
Baxter,AR,ARW
Bay,FL,FLN
Bay,MI,MIE
Bayfield,WI,WIW
Baylor,TX,TXN
Beadle,SD,SDX
"Bear Lake",ID,IDX
Beaufort,NC,NCE
Beaufort,SC,SCX
Beauregard,LA,LAW
Beaver,OK,OKW
Beaver,PA,PAW
Beaver,UT,UTX
Beaverhead,MT,MTX
Becker,MN,MNX
Beckham,OK,OKW
Bedford,PA,PAW
Bedford,TN,TNE
Bedford,VA,VAW
"Bedford City",VA,VAW
Bee,TX,TXS
Belknap,NH,NHX
Bell,KY,KYE
Bell,TX,TXW
Belmont,OH,OHS
Beltrami,MN,MNX
"Ben Hill",GA,GAM
Benewah,ID,IDX
Bennett,SD,SDX
Bennington,VT,VTX
Benson,ND,NDX
Bent,CO,COX
Benton,AR,ARW
Benton,IA,IAN
Benton,IN,INN
Benton,MN,MNX
Benton,MO,MOW
Benton,MS,MSN
Benton,OR,ORX
Benton,TN,TNW
Benton,WA,WAE
Benzie,MI,MIW
Bergen,NJ,NJX
Berkeley,SC,SCX
Berkeley,WV,WVN
Berks,PA,PAE
Berkshire,MA,MAX
Bernalillo,NM,NMX
Berrien,GA,GAM
Berrien,MI,MIW
Bertie,NC,NCE
Bexar,TX,TXW
Bibb,AL,ALN
Bibb,GA,GAM
Bienville,LA,LAW
"Big Horn",MT,MTX
"Big Horn",WY,WYX
"Big Stone",MN,MNX
Billings,ND,NDX
Bingham,ID,IDX
"Black Hawk",IA,IAN
Blackford,IN,INN
Bladen,NC,NCE
Blaine,ID,IDX
Blaine,MT,MTX
Blaine,NE,NEX
Blaine,OK,OKW
Blair,PA,PAW
Blanco,TX,TXW
Bland,VA,VAW
Bleckley,GA,GAM
Bledsoe,TN,TNE
Blount,AL,ALN
Blount,TN,TNE
"Blue Earth",MN,MNX
Boise,ID,IDX
Bolivar,MS,MSN
Bollinger,MO,MOE
"Bon Homme",SD,SDX
Bond,IL,ILS
Bonner,ID,IDX
Bonneville,ID,IDX
Boone,AR,ARW
Boone,IA,IAS
Boone,IL,ILN
Boone,IN,INS
Boone,KY,KYE
Boone,MO,MOW
Boone,NE,NEX
Boone,WV,WVS
Borden,TX,TXN
Bosque,TX,TXW
Bossier,LA,LAW
Botetourt,VA,VAW
Bottineau,ND,NDX
Boulder,CO,COX
Boundary,ID,IDX
Bourbon,KS,KSX
Bourbon,KY,KYE
Bowie,TX,TXE
Bowman,ND,NDX
"Box Butte",NE,NEX
"Box Elder",UT,UTX
Boyd,KY,KYE
Boyd,NE,NEX
Boyle,KY,KYE
Bracken,KY,KYE
Bradford,FL,FLM
Bradford,PA,PAM
Bradley,AR,ARW
Bradley,TN,TNE
Branch,MI,MIW
Brantley,GA,GAS
Braxton,WV,WVN
Brazoria,TX,TXS
Brazos,TX,TXS
Breathitt,KY,KYE
Breckinridge,KY,KYW
Bremer,IA,IAN
Brevard,FL,FLM
Brewster,TX,TXW
Briscoe,TX,TXN
Bristol,MA,MAX
Bristol,RI,RIX
"Bristol Bay",AK,AKX
"Bristol City",VA,VAW
Broadwater,MT,MTX
Bronx,NY,NYS
Brooke,WV,WVN
Brookings,SD,SDX
Brooks,GA,GAM
Brooks,TX,TXS
Broome,NY,NYN
Broomfield,CO,COX
Broward,FL,FLS
Brown,IL,ILC
Brown,IN,INS
Brown,KS,KSX
Brown,MN,MNX
Brown,NE,NEX
Brown,OH,OHS
Brown,SD,SDX
Brown,TX,TXN
Brown,WI,WIE
Brule,SD,SDX
Brunswick,NC,NCE
Brunswick,VA,VAE
Bryan,GA,GAS
Bryan,OK,OKE
Buchanan,IA,IAN
Buchanan,MO,MOW
Buchanan,VA,VAW
Buckingham,VA,VAW
Bucks,PA,PAE
"Buena Vista",IA,IAN
"Buena Vista City",VA,VAW
Buffalo,NE,NEX
Buffalo,SD,SDX
Buffalo,WI,WIW
Bullitt,KY,KYW
Bulloch,GA,GAS
Bullock,AL,ALM
Buncombe,NC,NCW
Bureau,IL,ILC
Burke,GA,GAS
Burke,NC,NCW
Burke,ND,NDX
Burleigh,ND,NDX
Burleson,TX,TXW
Burlington,NJ,NJX
Burnet,TX,TXW
Burnett,WI,WIW
Burt,NE,NEX
Butler,AL,ALM
Butler,IA,IAN
Butler,KS,KSX
Butler,KY,KYW
Butler,MO,MOE
Butler,NE,NEX
Butler,OH,OHS
Butler,PA,PAW
Butte,CA,CAE
Butte,ID,IDX
Butte,SD,SDX
Butts,GA,GAM
Cabarrus,NC,NCM
Cabell,WV,WVS
Cache,UT,UTX
Caddo,LA,LAW
Caddo,OK,OKW
Calaveras,CA,CAE
Calcasieu,LA,LAW
Caldwell,KY,KYW
Caldwell,LA,LAW
Caldwell,MO,MOW
Caldwell,NC,NCW
Caldwell,TX,TXW
Caledonia,VT,VTX
Calhoun,AL,ALN
Calhoun,AR,ARW
Calhoun,FL,FLN
Calhoun,GA,GAM
Calhoun,IA,IAN
Calhoun,IL,ILS
Calhoun,MI,MIW
Calhoun,MS,MSN
Calhoun,SC,SCX
Calhoun,TX,TXS
Calhoun,WV,WVN
Callahan,TX,TXN
Callaway,MO,MOW
Calloway,KY,KYW
Calumet,WI,WIE
Calvert,MD,MDX
Camas,ID,IDX
Cambria,PA,PAW
Camden,GA,GAS
Camden,MO,MOW
Camden,NC,NCE
Camden,NJ,NJX
Cameron,LA,LAW
Cameron,PA,PAM
Cameron,TX,TXS
Camp,TX,TXE
Campbell,KY,KYE
Campbell,SD,SDX
Campbell,TN,TNE
Campbell,VA,VAW
Campbell,WY,WYX
Canadian,OK,OKW
Candler,GA,GAS
Cannon,TN,TNM
Canyon,ID,IDX
"Cape Girardeau",MO,MOE
"Cape May",NJ,NJX
Carbon,MT,MTX
Carbon,PA,PAM
Carbon,UT,UTX
Carbon,WY,WYX
Caribou,ID,IDX
Carlisle,KY,KYW
Carlton,MN,MNX
Caroline,MD,MDX
Caroline,VA,VAE
Carroll,AR,ARW
Carroll,GA,GAN
Carroll,IA,IAN
Carroll,IL,ILN
Carroll,IN,INN
Carroll,KY,KYE
Carroll,MD,MDX
Carroll,MO,MOW
Carroll,MS,MSN
Carroll,NH,NHX
Carroll,OH,OHN
Carroll,TN,TNW
Carroll,VA,VAW
Carson,TX,TXN
"Carson City",NV,NVX
Carter,KY,KYE
Carter,MO,MOE
Carter,MT,MTX
Carter,OK,OKE
Carter,TN,TNE
Carteret,NC,NCE
Carver,MN,MNX
Cascade,MT,MTX
Casey,KY,KYW
Cass,IA,IAS
Cass,IL,ILC
Cass,IN,INN
Cass,MI,MIW
Cass,MN,MNX
Cass,MO,MOW
Cass,ND,NDX
Cass,NE,NEX
Cass,TX,TXE
Cassia,ID,IDX
Castro,TX,TXN
Caswell,NC,NCM
Catahoula,LA,LAW
Catawba,NC,NCW
