OrgCode,Unit,CourtType,LocationId,Circuit,District,MainOffice,OfficeName,Url,Phone,Fax,Opens,Closes,LunchStart,LunchEnd,HasPublicLibrary,Longitude,Latitude,Room,BuildingName,BuildingAddress,BuildingCity,BuildingState,BuildingZip,LocationGroup,Address,EJurorUrl,JuryServiceUrl,ECFurl,ECFUrl2,MailBox,MailZip
A01XXXB,AB,"Appeals Court",2,01,,1,"First Circuit Bankruptcy Appellate Panel",http://www.bap1.uscourts.gov,617-748-9650,617-748-9659,,,,,0,-71.046249,42.354265,"Suite 3620","John Joseph Moakley United States Courthouse","One Courthouse Way",Boston,MA,02210-3002,"John Joseph Moakley United States Courthouse","John Joseph Moakley United States Courthouse
One Courthouse Way
Boston, MA 02210-3002
",,,,,,
A01XXXC,AC,"Appeals Court",4,01,,1,"First Circuit Court of Appeals",http://www.ca1.uscourts.gov,617-748-9057,617-748-9056,,,,,0,-71.046249,42.354265,"Suite 2500","John Joseph Moakley United States Courthouse","One Courthouse Way",Boston,MA,02210-3002,"John Joseph Moakley United States Courthouse","John Joseph Moakley United States Courthouse
One Courthouse Way
Boston, MA 02210-3002
",,,https://ecf.ca1.uscourts.gov,,,
B10UTXC,BC,"Bankruptcy Court",10,10,UTX,1,"Utah Bankruptcy Court",http://www.utb.uscourts.gov,801-524-6687,801-524-4409,,,,,0,-111.891140,40.761536,,"Frank E. Moss United States Courthouse","350 South Main Street","Salt Lake City",UT,84101,"Frank E. Moss United States Courthouse","Frank E. Moss United States Courthouse
350 South Main Street
Salt Lake City, UT 84101
",,,https://ecf.utb.uscourts.gov,,,
D09WAWP,DP,"Probation/Pretrial Services",18,09,WAW,0,"Washington Western Probation Office",http://www.wawp.uscourts.gov/,206-370-8950,206-370-8951,,,,,0,-122.336260,47.614294,10101,"United States Courthouse","700 Stewart Street",Seattle,WA,98101-1271,"United States Courthouse","United States Courthouse
700 Stewart Street
Seattle, WA 98101-1271
",,,,,,
D10COXC,DC,"District Court",20,10,COX,0,"Colorado District Court",http://www.cod.uscourts.gov,303-844-5424,303-844-5439,,,,,0,-104.989103,39.748936,"Suite C-120","Byron G. Rogers United States Courthouse and Federal Building","1929 Stout Street",Denver,CO,80294,"Byron G. Rogers United States Courthouse and Federal Building","Byron G. Rogers United States Courthouse and Federal Building
1929 Stout Street
Denver, CO 80294
",https://ejuror1.uscourts.gov/ejuror-cod/TransportRoom?servlet=login,http://www.cod.uscourts.gov/jurorinformation.aspx,https://ecf.cod.uscourts.gov,,,
A02XXXC,AC,"Appeals Court",22,02,,1,"Second Circuit Court of Appeals",http://www.ca2.uscourts.gov,212-857-8500,212-857-8710,,,,,0,-74.003043,40.713993,"18th Floor","Thurgood Marshall United States Courthouse","40 Centre Street","New York",NY,10007-1501,"Thurgood Marshall United States Courthouse","Thurgood Marshall United States Courthouse
40 Centre Street
New York, NY 10007-1501
",,,https://ecf.ca2.uscourts.gov,,,
D09WAWP,DP,"Probation/Pretrial Services",23,09,WAW,0,"Washington Western Probation Office",http://www.wawp.uscourts.gov/,253-882-3705,253-882-3706,,,,,0,-122.436898,47.245974,1152,"United States Courthouse","1717 Pacific Avenue",Tacoma,WA,98402-3234,"United States Courthouse","United States Courthouse
1717 Pacific Avenue
Tacoma, WA 98402-3234
",,,,,,
D10NMXC,DC,"District Court",25,10,NMX,0,"New Mexico District Court",http://www.nmd.uscourts.gov,505-348-2000,505-348-2028,8:00,5:00,12:00,1:00,0,-106.652041,35.083571,,"United States Courthouse","421 Gold Avenue, S.W.",Albuquerque,NM,87102-3254,"United States Courthouse","United States Courthouse
421 Gold Avenue, S.W.
Albuquerque, NM 87102-3254
",https://ejuror1.uscourts.gov/ejuror-nmd/TransportRoom?servlet=login,http://www.nmd.uscourts.gov/juror-information,https://ecf.nmd.uscourts.gov,,,
A02XXXL,AL,"Appeals Court",28,02,,0,"Second Circuit Library",http://www.ca2.uscourts.gov,718-260-2320,718-330-1754,9:00,4:45,,,1,-73.989975,40.697427,,"Emanuel Celler Federal Building","225 Cadman Plaza East",Brooklyn,NY,11201-1818,"Emanuel Celler Federal Building","Emanuel Celler Federal Building
225 Cadman Plaza East
Brooklyn, NY 11201-1818
",,,,,,
A02XXXL,AL,"Appeals Court",29,02,,0,"Second Circuit Library",http://www.ca2.uscourts.gov,716-551-1560,716-551-1565,9:00,4:45,,,1,-78.8788467,42.8872375,,"Robert H. Jackson Courthouse","2 Niagara Square",Buffalo,NY,14202,"Robert H. Jackson Courthouse","Robert H. Jackson Courthouse
2 Niagara Square
Buffalo, NY 14202
",,,,,,
A02XXXL,AL,"Appeals Court",30,02,,0,"Second Circuit Library",http://www.ca2.uscourts.gov,631-712-6090,631-712-6092,9:00,4:45,,,1,-73.198527,40.780408,1060,"Alfonse M. D'Amato United States Courthouse","Federal Plaza","Central Islip",NY,11722,"Alfonse M. D'Amato United States Courthouse","Alfonse M. D'Amato United States Courthouse
Federal Plaza
Central Islip, NY 11722
",,,,,,
A02XXXL,AL,"Appeals Court",33,02,,1,"Second Circuit Library",http://www.ca2.uscourts.gov,212-857-8900,212-857-8926,9:00,4:45,,,1,-74.003043,40.713993,"5th Floor","Thurgood Marshall United States Courthouse","40 Centre Street","New York",NY,10007-1501,"Thurgood Marshall United States Courthouse","Thurgood Marshall United States Courthouse
40 Centre Street
New York, NY 10007-1501
",,,,,,
A03XXXC,AC,"Appeals Court",44,03,,1,"Third Circuit Court of Appeals",http://www.ca3.uscourts.gov,215-597-2995,215-597-9157,,,,,0,-75.150377,39.950746,21400,"James A. Byrne United States Courthouse","601 Market Street",Philadelphia,PA,19106-1729,"James A. Byrne United States Courthouse","James A. Byrne United States Courthouse
601 Market Street
Philadelphia, PA 19106-1729
",,,https://ecf.ca3.uscourts.gov,,,
A03XXXL,AL,"Appeals Court",51,03,,0,"Third Circuit Library",https://www.ca3.uscourts.gov/circuit-libraries,856-968-4859,856-968-4871,8:30,4:30,,,1,-75.122012,39.947137,"2nd Floor","Mitchell H. Cohen United States Courthouse","400 Cooper Street",Camden,NJ,08102-1570,"Mitchell H. Cohen United States Courthouse","Mitchell H. Cohen United States Courthouse
400 Cooper Street
Camden, NJ 08102-1570
",,,,,"PO Box 1988",08102
A03XXXL,AL,"Appeals Court",53,03,,0,"Third Circuit Library",https://www.ca3.uscourts.gov/circuit-libraries,973-645-3034,973-645-5992,8:30,4:30,,,1,-74.172530,40.729895,5007,"Martin Luther King, Jr. Federal Building and United States Courthouse","50 Walnut Street",Newark,NJ,07102,"Martin Luther King, Jr. Federal Building and United States Courthouse","Martin Luther King, Jr. Federal Building and United States Courthouse
50 Walnut Street
Newark, NJ 07102
",,,,,,
A03XXXL,AL,"Appeals Court",54,03,,1,"Third Circuit Library",https://www.ca3.uscourts.gov/circuit-libraries,267-299-4301,267-299-5110,8:30,4:30,,,1,-75.150377,39.950746,1609,"James A. Byrne United States Courthouse","601 Market Street",Philadelphia,PA,19106-1729,"James A. Byrne United States Courthouse","James A. Byrne United States Courthouse
601 Market Street
Philadelphia, PA 19106-1729
",,,,,,
